UF;Zona;Partido;G�nero;Grau de escolaridade;Faixa et�ria;Quantitativo;Porcentagem (%);qt_nome_social;qt_deficientes;Data de carga
RS;1;DEM;FEMININO;ENSINO M�DIO INCOMPLETO;35 a 44 anos;9;0,25;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO M�DIO INCOMPLETO;45 a 59 anos;7;0,1944;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO M�DIO INCOMPLETO;60 a 69 anos;8;0,2222;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO M�DIO INCOMPLETO;70 a 79 anos;2;0,0556;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO M�DIO INCOMPLETO;Superior a 79 anos;6;0,1667;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;L� E ESCREVE;35 a 44 anos;1;0,1667;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;L� E ESCREVE;60 a 69 anos;2;0,3333;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;L� E ESCREVE;70 a 79 anos;1;0,1667;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;L� E ESCREVE;Superior a 79 anos;2;0,3333;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;N�O INFORMADO;Superior a 79 anos;1;1;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;SUPERIOR COMPLETO;25 a 34 anos;1;0,0182;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;SUPERIOR COMPLETO;35 a 44 anos;9;0,1636;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;SUPERIOR COMPLETO;45 a 59 anos;14;0,2545;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;SUPERIOR COMPLETO;60 a 69 anos;14;0,2545;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;SUPERIOR COMPLETO;70 a 79 anos;11;0,2;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;SUPERIOR COMPLETO;Superior a 79 anos;6;0,1091;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;SUPERIOR INCOMPLETO;25 a 34 anos;2;0,1111;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;SUPERIOR INCOMPLETO;35 a 44 anos;4;0,2222;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;SUPERIOR INCOMPLETO;45 a 59 anos;3;0,1667;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;SUPERIOR INCOMPLETO;60 a 69 anos;6;0,3333;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;SUPERIOR INCOMPLETO;70 a 79 anos;3;0,1667;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;35 a 44 anos;1;0,0769;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;6;0,4615;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;2;0,1538;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;70 a 79 anos;3;0,2308;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;Superior a 79 anos;1;0,0769;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;35 a 44 anos;3;0,1765;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;6;0,3529;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;5;0,2941;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;1;0,0588;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;Superior a 79 anos;2;0,1176;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO M�DIO COMPLETO;25 a 34 anos;2;0,0513;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO M�DIO COMPLETO;35 a 44 anos;8;0,2051;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO M�DIO COMPLETO;45 a 59 anos;7;0,1795;0;0;2024-09-16 15:01:10
